pixel 	Counts (time normalized) 	
1092 	38671.808 	
1093 	38677.423 	
1094 	38678.231 	
1095 	38668.885 	
1096 	38676.346 	
1097 	38666.538 	
1098 	38660 	
1099 	38663.654 	
1100 	38662.385 	
1101 	38655.038 	
1102 	38663.962 	
1103 	38668.846 	
1104 	38669.769 	
1105 	38679.885 	
1106 	38731.308 	
1107 	38752.538 	
1108 	38702.769 	
1109 	38663.692 	
1110 	38658.615 	
1111 	38663.692 	
1112 	38665.5 	
1113 	38652.577 	
1114 	38678.692 	
1115 	38663.269 	
1116 	38673.423 	
1117 	38653.154 	
1118 	38667.615 	
1119 	38655.731 	
1120 	38649.462 	
1121 	38654.154 	
1122 	38663.423 	
1123 	38671 	
1124 	38667.577 	
1125 	38665.423 	
1126 	38656.5 	
1127 	38664.5 	
1128 	38658.154 	
1129 	38657.462 	
1130 	38656.154 	
1131 	38650.577 	
1132 	38659.077 	
1133 	38665.962 	
1134 	38652.5 	
1135 	38666.808 	
1136 	38673.462 	
1137 	38674.885 	
1138 	38663.038 	
1139 	38669.615 	
1140 	38670.962 	
1141 	38646.462 	
1142 	38656.577 	
1143 	38656.423 	
1144 	38658.038 	
1145 	38661.692 	
1146 	38673.231 	
1147 	38652.731 	
1148 	38645.308 	
1149 	38658.962 	
1150 	38682.269 	
1151 	38641.077 	
1152 	38656.846 	
1153 	38660.154 	
1154 	38646.577 	
1155 	38651.654 	
1156 	38645.962 	
1157 	38650.385 	
1158 	38656.077 	
1159 	38661.885 	
1160 	38656.423 	
1161 	38642.192 	
1162 	38649.269 	
1163 	38659.692 	
1164 	38654.269 	
1165 	38656.385 	
1166 	38664.077 	
1167 	38656.538 	
1168 	38661.192 	
1169 	38654.692 	
1170 	38637.692 	
1171 	38648.577 	
1172 	38663.077 	
1173 	38653.038 	
1174 	38655.231 	
1175 	38653.308 	
1176 	38652.769 	
1177 	38671.231 	
1178 	38668.269 	
1179 	38660.615 	
1180 	38652.577 	
1181 	38669.192 	
1182 	38643.154 	
1183 	38654.923 	
1184 	38662.808 	
1185 	38647.962 	
1186 	38653.769 	
1187 	38670.5 	
1188 	38665.808 	
1189 	38661.423 	
1190 	38657.962 	
1191 	38660.615 	
1192 	38660.769 	
1193 	38651.923 	
1194 	38644.577 	
1195 	38655.385 	
1196 	38653.885 	
1197 	38664.731 	
1198 	38659.538 	
1199 	38667.654 	
1200 	38641.885 	
1201 	38640.769 	
1202 	38657.538 	
1203 	38653.923 	
1204 	38669.077 	
1205 	38676.269 	
1206 	38647.654 	
1207 	38651.385 	
1208 	38651.346 	
1209 	38658.885 	
1210 	38650.962 	
1211 	38639.423 	
1212 	38649.885 	
1213 	38644.038 	
1214 	38658.923 	
1215 	38654.231 	
1216 	38650.577 	
1217 	38637.692 	
1218 	38655.769 	
1219 	38643.038 	
1220 	38647.538 	
1221 	38648.538 	
1222 	38652.731 	
1223 	38668.462 	
1224 	38648.5 	
1225 	38655.231 	
1226 	38653 	
1227 	38648.731 	
1228 	38649.269 	
1229 	38662.962 	
1230 	38666.308 	
1231 	38663.654 	
1232 	38646.654 	
1233 	38641.538 	
1234 	38640.192 	
1235 	38642.154 	
1236 	38661.577 	
1237 	38648.885 	
1238 	38641.038 	
1239 	38653.115 	
1240 	38642.538 	
1241 	38653.5 	
1242 	38647.654 	
1243 	38653.885 	
1244 	38649.269 	
1245 	38640.885 	
1246 	38643.192 	
1247 	38651.846 	
1248 	38667 	
1249 	38660.038 	
1250 	38649.385 	
1251 	38651.962 	
1252 	38655.692 	
1253 	38671.808 	
1254 	38661.115 	
1255 	38658.115 	
1256 	38649 	
1257 	38653.462 	
1258 	38644.769 	
1259 	38644.885 	
1260 	38663.808 	
1261 	38641.308 	
1262 	38659.192 	
1263 	38661.962 	
1264 	38651.923 	
1265 	38655.077 	
1266 	38650.346 	
1267 	38662.423 	
1268 	38654.154 	
1269 	38662.5 	
1270 	38654.731 	
1271 	38651.615 	
1272 	38651.077 	
1273 	38654.192 	
1274 	38640.192 	
1275 	38633.769 	
1276 	38644.423 	
1277 	38645 	
1278 	38648.577 	
1279 	38663.385 	
1280 	38640.577 	
1281 	38647.923 	
1282 	38653.962 	
1283 	38645.846 	
1284 	38660.308 	
1285 	38651.154 	
1286 	38657.423 	
1287 	38641.038 	
1288 	38649.231 	
1289 	38648.423 	
1290 	38647.923 	
1291 	38664 	
1292 	38653.462 	
1293 	38664.192 	
1294 	38642.923 	
1295 	38652.423 	
1296 	38657.885 	
1297 	38645.808 	
1298 	38643.654 	
1299 	38646.385 	
1300 	38644.808 	
1301 	38647.731 	
1302 	38650.923 	
1303 	38653.654 	
1304 	38625.923 	
1305 	38640.077 	
1306 	38640 	
1307 	38654.846 	
1308 	38651.808 	
1309 	38660.923 	
1310 	38647.692 	
1311 	38627.923 	
1312 	38632.5 	
1313 	38639.692 	
1314 	38640.385 	
1315 	38647.769 	
1316 	38650.923 	
1317 	38645.615 	
1318 	38650.846 	
1319 	38657.654 	
1320 	38644.923 	
1321 	38640.731 	
1322 	38652.423 	
1323 	38647.538 	
1324 	38639.385 	
1325 	38653.385 	
1326 	38637.654 	
1327 	38644.038 	
1328 	38645.077 	
1329 	38650.385 	
1330 	38648.5 	
1331 	38628.154 	
1332 	38657.692 	
1333 	38669.769 	
1334 	38642.192 	
1335 	38704.346 	
1336 	38644.385 	
1337 	38641.115 	
1338 	38642.654 	
1339 	38655.577 	
1340 	38616.077 	
1341 	38645.385 	
1342 	38660.808 	
1343 	38650.346 	
1344 	38648.231 	
1345 	38646.538 	
1346 	38636.231 	
1347 	38644.385 	
